run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,run_type,category,request_count,success_rate,error_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrency_detail,json_extraction,35,1.0,0,1031.2806012375015,919.7164736688137,2080.560850724578,198.34328634398324,29.206403329740464,35.0,28.0,1.0,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrency_detail,summarization,32,1.0,0,2141.3502040086314,2132.639242336154,2343.129021860659,74.31064848788083,45.980540935007106,46.0,97.96875,,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,single_prompt,single,1,1.0,0,1877.7553476393223,1877.7553476393223,1877.7553476393223,1251.9262172281742,10.118464060766186,20.0,19.0,1.0,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,agent_concurrent_detail,multi_agent,10,1.0,0,11980.675948038697,14052.760465070605,15196.845195069907,371.8493726104498,50.24189921532118,42.2,588.8,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,agent_sequential_detail,multi_agent,10,1.0,0,14070.538840815425,13936.330700293183,14823.651782236991,304.3191570788622,51.64794433754097,650.8,726.2,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,architecture,1,1.0,0,10087.923843413591,10087.923843413591,10087.923843413591,52.864350378513336,42.52609423494947,31.0,429.0,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,classification,1,1.0,0,72.3392590880394,72.3392590880394,72.3392590880394,52.551593631505966,13.823752311078625,39.0,1.0,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,coding,1,1.0,0,7229.34128344059,7229.34128344059,7229.34128344059,1837.57009729743,34.71962246061567,27.0,251.0,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,debugging,1,1.0,0,7306.004878133535,7306.004878133535,7306.004878133535,54.24563214182854,49.00078852554205,29.0,358.0,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,function_calling,2,1.0,0,2232.544967904687,2232.544967904687,3281.3365584239364,976.2794487178326,21.091393219516647,34.0,40.0,1.0,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,json_extraction,1,1.0,0,2626.517165452242,2626.517165452242,2626.517165452242,1844.1908694803715,10.660505237999795,35.0,28.0,1.0,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,rag,2,1.0,0,1610.426215454936,1610.426215454936,2473.8845760002732,1143.9212821424007,27.310683259248936,51.0,24.5,,0.0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,batch,summarization,1,1.0,0,1959.8520509898663,1959.8520509898663,1959.8520509898663,51.634807139635086,50.00377449435683,46.0,98.0,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrency_detail,classification,33,1.0,0,115.37864273696235,98.12915325164795,265.5042573809624,94.22697691303311,10.16261774122136,39.0,1.0,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrency_detail,json_extraction,35,1.0,0,1113.9935398740429,891.735102981329,2706.6271174699064,302.6472813316754,28.79156787264945,35.0,28.0,1.0,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrency_detail,summarization,32,1.0,0,2050.5648790858686,2049.3313539773226,2252.504207380116,91.315814293921,47.716327433396984,46.0,97.6875,,
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,single_prompt,single,1,1.0,0,4496.069181710482,4496.069181710482,4496.069181710482,3849.479876458645,4.225913621901087,20.0,19.0,1.0,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,agent_concurrent_detail,multi_agent,10,1.0,0,27271.302477270365,31142.937041819096,32524.17291514575,464.7851586341858,23.63968551550638,42.2,626.6,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,agent_sequential_detail,multi_agent,10,1.0,0,26545.88891863823,30052.1899741143,31037.95498702675,441.77142158150673,25.285038445292876,644.8,657.8,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,architecture,1,1.0,0,21808.959864079952,21808.959864079952,21808.959864079952,85.42260527610779,22.146860877831973,31.0,483.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,classification,1,1.0,0,285.7825383543968,285.7825383543968,285.7825383543968,72.3019689321518,13.996656419363276,39.0,4.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,coding,1,1.0,0,14571.599513292313,14571.599513292313,14571.599513292313,1741.5239252150059,18.460567747186325,27.0,269.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,debugging,1,1.0,0,14951.291434466839,14951.291434466839,14951.291434466839,79.01991158723831,24.880793851856684,29.0,372.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,function_calling,2,1.0,0,3617.2962561249733,3617.2962561249733,4777.264070883393,1026.4528393745422,11.039063971050698,34.0,37.0,1.0,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,json_extraction,1,1.0,0,3290.895849466324,3290.895849466324,3290.895849466324,1593.9562357962132,8.508321527264586,35.0,28.0,1.0,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,rag,2,1.0,0,2131.0280598700047,2131.0280598700047,2943.564844876528,1164.6819859743118,14.365238549721479,51.0,23.0,,0.0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,batch,summarization,1,1.0,0,3349.3183441460133,3349.3183441460133,3349.3183441460133,77.25759595632553,24.18402542761364,46.0,81.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,concurrency_detail,classification,33,1.0,0,361.5958174747048,348.90397265553474,493.1743785738945,136.3159397786314,11.354876062200077,39.0,4.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,concurrency_detail,json_extraction,35,1.0,0,2172.7428129741124,1905.7508930563927,4164.771607145667,393.0090601955141,13.740483417507527,35.0,28.0,1.0,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,concurrency_detail,summarization,32,1.0,0,3556.873566005379,3551.36782489717,3785.7306065037847,137.8395138308406,22.79456722831061,46.0,81.0,,
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,single_prompt,single,1,1.0,0,4625.608392059803,4625.608392059803,4625.608392059803,3233.066141605377,4.107567781270653,20.0,19.0,1.0,
